iter	Passed	Remaining
445	1191	1479
446	1194	1477
447	1197	1475
448	1200	1472
449	1202	1470
450	1205	1467
451	1208	1465
452	1211	1462
453	1214	1460
454	1216	1457
455	1219	1455
456	1222	1452
457	1224	1449
458	1228	1447
459	1230	1444
460	1233	1442
461	1236	1439
462	1238	1436
463	1241	1434
464	1245	1432
465	1247	1429
466	1250	1426
467	1252	1424
468	1255	1421
469	1258	1418
470	1261	1416
471	1264	1414
472	1266	1411
473	1269	1408
474	1271	1405
475	1274	1402
476	1276	1399
477	1279	1396
478	1281	1394
479	1284	1391
480	1286	1388
481	1288	1385
482	1291	1382
483	1293	1379
484	1296	1376
485	1298	1373
486	1301	1370
487	1303	1367
488	1306	1364
489	1308	1361
490	1310	1359
491	1313	1356
492	1315	1353
493	1318	1350
494	1320	1347
495	1322	1344
496	1325	1341
497	1327	1338
498	1329	1335
499	1332	1332
500	1335	1329
501	1337	1327
502	1340	1324
503	1342	1321
504	1345	1319
505	1348	1316
506	1350	1313
507	1353	1310
508	1356	1308
509	1358	1305
510	1361	1302
511	1363	1299
512	1366	1296
513	1368	1294
514	1371	1291
515	1374	1289
516	1376	1286
517	1379	1283
518	1381	1280
519	1384	1277
520	1386	1274
521	1389	1272
522	1392	1269
523	1394	1266
524	1397	1264
525	1399	1261
526	1402	1258
527	1405	1256
528	1407	1253
529	1410	1250
530	1412	1247
531	1415	1245
532	1418	1242
533	1420	1239
534	1423	1237
535	1426	1234
536	1428	1231
537	1430	1228
538	1433	1225
539	1435	1223
540	1438	1220
541	1440	1217
542	1443	1214
543	1445	1211
544	1447	1208
545	1450	1205
546	1452	1203
547	1455	1200
548	1457	1197
549	1459	1194
550	1462	1191
551	1464	1188
552	1467	1185
553	1469	1182
554	1471	1180
555	1474	1177
556	1476	1174
557	1479	1171
558	1481	1168
559	1483	1165
560	1486	1162
561	1488	1160
562	1491	1157
563	1493	1154
564	1496	1152
565	1498	1149
566	1501	1146
567	1503	1143
568	1506	1140
569	1509	1138
570	1511	1135
571	1514	1132
572	1516	1130
573	1519	1127
574	1521	1124
575	1524	1121
576	1526	1118
577	1529	1116
578	1532	1114
579	1534	1111
580	1537	1108
581	1540	1106
582	1542	1103
583	1545	1100
584	1547	1098
585	1550	1095
586	1552	1092
587	1555	1089
588	1557	1086
589	1559	1084
590	1562	1081
